1,東京都統計年鑑（平成30年）TOKYO STATISTICAL YEARBOOK ( 2018 )　2  人口・世帯 2  POPULATION AND HOUSEHOLDS,,,,,,,,,,,,,,,,,,,
2,,,,,,,2-4  地域，国籍別外国人人口（平成27～31年） 2-4  FOREIGN RESIDENTS BY DISTRICT AND NATIONALITY ( 2015～2019 ),,,,,,,,,,,,,
3,,,,,,,外国人人口とは，住民基本台帳法（昭和42年法律第81号）に基づく外国人数である。各年１月１日現在,,,,,,,,,,,,,
4,,,,,,,平成31年１月１日現在で外国人人口の多い順の10か国・地域である。,,,,,,,,,,,,,
5,,,,,,,Foreign residents here mean foreign nationals who are registered according to the Basic Resident Registration Act.  As of Jan. 1 of the year stated.,,,,,,,,,,,,,
6,,,,,,,"Top ten countries and regions in terms of foreign resident population as of Jan. 1, 2019.",,,,,,,,,,,,,
7,,,,,,,"注) 住民票に記載される国籍・地域の名称は, 在留管理制度に基づく在留カード等の「国籍・地域」欄の表記によっている。 このため本統計の国籍・地域の名称は, 平成29年1月から在留管理制度に基づく法務省「在留外国人統計」の国籍・地域の名称に合わせており,平成28年までの「中国」には「台湾」を含むが,平成29年からは, 「中国」には「台湾」を含まない。平成28年までの「韓国」には, 外国人登録証明書や在留カード等に「韓国」の表記がなされている韓国籍を有する者と「朝鮮」の表記がなされている者をあわせて計上している。",,,,,,,,,,,,,
8,,,,,,,"Note: From Jan. 2017, ""nationalities/regions"" in this table are based on the Ministry of Justice's ""Statistics on Foreign National Residents,  "" where data on ""nationality/region"" are based on the residency management system with reference to ""nationality/region."" Residence records  follow the nationality/region of resident cards issued under the residency management system. Accordingly, ""Taiwan"" is included in ""China"" until 2016, and from 2017, they are separately tabulated. Foreign residents, whose nationalities are stated as ""South Korean"" or ""North Korean"" in their alien registration certificates, resident cards, and so on are combined under ""Korea"" up to 2016.",,,,,,,,,,,,,
9,,,,,,,"資料：都総務局統計部人口統計課「外国人人口」 Source: Bureau of General Affairs, TMG",,,,,,,,,,,,,
10,,,,,,,地域階層（0:東京都総数　1:区部・市部・郡部・島部　2:各支庁　3:区市町村),,,,,,,,,,,,,
11,"年次
(平成)",Year,"階層
コード","地域
コード",地域,district,総数 Total,中国 China,韓国 Rep. of Korea,ベトナム Vietnam,フィリピン Philippines ,ネパール Nepal,台湾 Taiwan,アメリカ U.S.A.,イ ン ド India,ミャンマー Myanmar,タイ Thailand,その他 Others,,
12,27,2015,0,13000,総数,Tokyo-to,417442,172769,94010,14645,28681,14355,…,16097,8730,5627,7154,55374,,
13,28,2016,0,13000,総数,Tokyo-to,449042,185982,93309,22131,29575,18412,…,16411,9475,7044,7370,59333,,
14,29,2017,0,13000,総数,Tokyo-to,486346,185883,88755,27762,30761,22660,17281,16939,10354,8249,7651,70051,,
15,30,2018,0,13000,総数,Tokyo-to,521500,199949,90438,32334,32089,26157,18568,17578,11153,9719,7958,75557,,
16,31,2019,0,13000,総数,Tokyo-to,551683,213767,92418,36227,33219,27290,19726,18508,12130,10395,8101,79902,,
17,31,2019,1,13100,区部,All ku,465191,183613,78955,29627,24854,23941,16891,15219,11195,9849,6580,64467,,
18,31,2019,3,13101,千代田区,Chiyoda-ku,2996,1250,455,76,64,24,194,210,79,16,46,582,,
19,31,2019,3,13102,中央区,Chuo-ku,7651,3266,1401,192,153,95,385,391,275,38,89,1366,,
20,31,2019,3,13103,港　区,Minato-ku,20057,3962,3461,144,1027,107,756,3257,649,56,191,6447,,
21,31,2019,3,13104,新宿区,Shinjuku-ku,43068,14153,10221,3484,747,3517,1884,1033,246,2218,735,4830,,
22,31,2019,3,13105,文京区,Bunkyo-ku,10808,4646,1658,927,223,364,509,329,107,317,192,1536,,
23,31,2019,3,13106,台東区,Taito-ku,15433,6489,3118,824,785,688,503,253,713,134,334,1592,,
24,31,2019,3,13107,墨田区,Sumida-ku,12645,5874,1966,679,1349,320,401,183,140,75,388,1270,,
25,31,2019,3,13108,江東区,Koto-ku,29472,14783,4557,1030,1585,583,703,467,2065,436,366,2897,,
26,31,2019,3,13109,品川区,Shinagawa-ku,13042,4317,2426,547,798,712,600,607,402,292,196,2145,,
27,31,2019,3,13110,目黒区,Meguro-ku,9102,1836,1498,202,537,252,469,979,198,54,165,2912,,
28,31,2019,3,13111,大田区,Ota-ku,24199,8467,3562,1494,2497,2287,1033,621,291,275,473,3199,,
29,31,2019,3,13112,世田谷区,Setagaya-ku,21379,5835,4367,864,983,512,999,1706,503,129,260,5221,,
30,31,2019,3,13113,渋谷区,Shibuya-ku,10639,2013,1608,352,334,172,621,1383,177,57,168,3754,,
31,31,2019,3,13114,中野区,Nakano-ku,19326,6786,3365,1889,531,1750,970,496,127,471,272,2669,,
32,31,2019,3,13115,杉並区,Suginami-ku,17722,5837,2854,1486,546,2226,1009,750,92,196,240,2486,,
